No.,Visible,Ref. Code,Compound Name,Chemical Formula,Score,SemiQuant [%],Cell,Display Color,Database ID,Subfiles
1,TRUE,00-005-0628,Sodium Chloride,Na Cl,No Data Supplied,-,a 5.64020 - b 5.64020 - c 5.64020,Blue,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\ExampleDb\,"Common Phase, Educational pattern, Forensic, Inorganic, Mineral, NBS pattern, Pharmaceutical"
2,TRUE,00-006-0329,Praseodymium Oxide,Pr O1.83,No Data Supplied,-,a 5.46950 - b 5.46950 - c 5.46950,Lime,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\ExampleDb\,"Alloy, metal or intermetalic, Inorganic"
3,TRUE,00-006-0694,Chromium,Cr,No Data Supplied,-,a 2.88390 - b 2.88390 - c 2.88390,Gray,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\ExampleDb\,"Alloy, metal or intermetalic, Common Phase, Educational pattern, Forensic, Inorganic, Mineral, NBS pattern"
4,TRUE,00-027-1402,Silicon,Si,No Data Supplied,-,a 5.43088 - b 5.43088 - c 5.43088,Maroon,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\ExampleDb\,"Alloy, metal or intermetalic, Common Phase, Educational pattern, Forensic, Inorganic, Mineral"
5,TRUE,00-035-0816,Calcium Fluoride,Ca F2,No Data Supplied,-,a 5.46305 - b 5.46305 - c 5.46305,Aqua,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\ExampleDb\,"Common Phase, Educational pattern, Forensic, Inorganic, Mineral, NBS pattern"
6,TRUE,01-073-1667,Copper Iron Sulfide,Cu5 Fe S4,No Data Supplied,-,a 5.47000 - b 5.47000 - c 5.47000,Fuchsia,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\ExampleDb\,"Alloy, metal or intermetalic, Corrosion, ICSD Pattern, Inorganic, Mineral"
7,TRUE,01-075-0134,Uranium Oxide,U O2,No Data Supplied,-,a 5.46900 - b 5.46900 - c 5.46900,Yellow,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\ExampleDb\,"Alloy, metal or intermetalic, Corrosion, ICSD Pattern, Inorganic"
8,TRUE,01-077-2041,Sodium Erbium Fluoride,Na Er F4,No Data Supplied,-,a 5.46500 - b 5.46500 - c 5.46500,Red,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\ExampleDb\,"ICSD Pattern, Inorganic"
9,FALSE,00-001-0239,Iron Cyanide,Fe4 ( Fe ( C N )6 )3,No Data Supplied,-,a 5.10000 - b 5.10000 - c 5.10000,Blue,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Common Phase, Forensic, Inorganic"
10,FALSE,00-001-0496,Potassium,K,No Data Supplied,-,a 5.20000 - b 5.20000 - c 5.20000,Lime,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
11,FALSE,00-001-0500,Potassium,K,No Data Supplied,-,a 5.20000 - b 5.20000 - c 5.20000,Gray,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Alloy, metal or intermetalic, Common Phase, Educational pattern, Inorganic"
12,FALSE,00-001-0543,Barium,Ba,No Data Supplied,-,a 5.01000 - b 5.01000 - c 5.01000,Maroon,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
